timestamp,gpu_id,name,utilization_gpu_pct,utilization_mem_pct,memory_used_mib,memory_total_mib,temperature_gpu_c,power_draw_w
2026/03/25 18:54:27.570,1,NVIDIA GeForce RTX 4080,21,21,14149,16376,42,63.60
2026/03/25 18:54:57.610,0,NVIDIA GeForce RTX 4090,68,48,2520,24564,43,159.59
2026/03/25 18:54:57.617,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,79.99
2026/03/25 18:55:27.668,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,71.53
2026/03/25 18:55:27.674,1,NVIDIA GeForce RTX 4080,5,5,14149,16376,40,57.05
2026/03/25 18:55:57.725,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,39,232.70
2026/03/25 18:55:57.731,1,NVIDIA GeForce RTX 4080,81,53,14149,16376,57,270.07
2026/03/25 18:56:27.782,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,39,131.70
2026/03/25 18:56:27.787,1,NVIDIA GeForce RTX 4080,81,60,14149,16376,53,258.78
2026/03/25 18:56:57.841,0,NVIDIA GeForce RTX 4090,67,47,2520,24564,44,340.28
2026/03/25 18:56:57.849,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,39,63.80
2026/03/25 18:57:27.903,0,NVIDIA GeForce RTX 4090,72,49,2520,24564,45,165.88
2026/03/25 18:57:27.910,1,NVIDIA GeForce RTX 4080,81,54,14149,16376,55,273.10
2026/03/25 18:57:57.955,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,66.53
2026/03/25 18:57:57.961,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,57.13
2026/03/25 18:58:28.014,0,NVIDIA GeForce RTX 4090,72,49,2520,24564,40,333.78
2026/03/25 18:58:28.032,1,NVIDIA GeForce RTX 4080,78,52,14149,16376,57,268.69
2026/03/25 18:58:58.073,0,NVIDIA GeForce RTX 4090,72,50,2520,24564,46,329.90
2026/03/25 18:58:58.081,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,43,89.66
2026/03/25 18:59:28.177,0,NVIDIA GeForce RTX 4090,68,48,2520,24564,45,321.96
2026/03/25 18:59:28.183,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,63.97
2026/03/25 18:59:58.230,0,NVIDIA GeForce RTX 4090,76,53,2520,24564,45,326.54
2026/03/25 18:59:58.235,1,NVIDIA GeForce RTX 4080,89,64,14149,16376,58,271.77
2026/03/25 19:00:28.278,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,105.04
2026/03/25 19:00:28.283,1,NVIDIA GeForce RTX 4080,21,21,14149,16376,40,59.87
2026/03/25 19:00:58.336,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,72.37
2026/03/25 19:00:58.341,1,NVIDIA GeForce RTX 4080,84,56,14149,16376,54,271.10
2026/03/25 19:01:28.395,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,38,76.84
2026/03/25 19:01:28.401,1,NVIDIA GeForce RTX 4080,79,52,14149,16376,55,268.13
2026/03/25 19:01:58.455,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,72.05
2026/03/25 19:01:58.462,1,NVIDIA GeForce RTX 4080,77,51,14149,16376,55,261.89
2026/03/25 19:02:28.530,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,66.44
2026/03/25 19:02:28.538,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,59.98
2026/03/25 19:02:58.591,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,39,109.67
2026/03/25 19:02:58.596,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,71.69
2026/03/25 19:03:28.638,0,NVIDIA GeForce RTX 4090,76,52,2520,24564,42,119.38
2026/03/25 19:03:28.648,1,NVIDIA GeForce RTX 4080,87,64,14149,16376,53,276.73
2026/03/25 19:03:58.700,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,70.18
2026/03/25 19:03:58.706,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,42,96.41
2026/03/25 19:04:28.748,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,66.58
