nohup: ignoring input
Device: cuda | Experiment: Extended Features (9) | Events: 200000
Epoch 089 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1119 | V-Loss: 0.1113 | T-P@R0.9: 0.4306 | V-P@R0.9: 0.4335
Epoch 090 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1119 | V-Loss: 0.1113 | T-P@R0.9: 0.4301 | V-P@R0.9: 0.4321
Epoch 091 | Time: 113.7s | LR: 2.00e-04 | T-Loss: 0.1116 | V-Loss: 0.1110 | T-P@R0.9: 0.4319 | V-P@R0.9: 0.4341
Epoch 092 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1116 | V-Loss: 0.1110 | T-P@R0.9: 0.4319 | V-P@R0.9: 0.4345
Epoch 093 | Time: 112.9s | LR: 2.00e-04 | T-Loss: 0.1121 | V-Loss: 0.1116 | T-P@R0.9: 0.4313 | V-P@R0.9: 0.4334
Epoch 094 | Time: 112.6s | LR: 2.00e-04 | T-Loss: 0.1116 | V-Loss: 0.1110 | T-P@R0.9: 0.4316 | V-P@R0.9: 0.4335
Epoch 095 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1114 | V-Loss: 0.1108 | T-P@R0.9: 0.4329 | V-P@R0.9: 0.4357
Epoch 096 | Time: 113.1s | LR: 2.00e-04 | T-Loss: 0.1115 | V-Loss: 0.1109 | T-P@R0.9: 0.4331 | V-P@R0.9: 0.4356
Epoch 097 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1117 | V-Loss: 0.1112 | T-P@R0.9: 0.4321 | V-P@R0.9: 0.4354
Epoch 098 | Time: 112.9s | LR: 2.00e-04 | T-Loss: 0.1117 | V-Loss: 0.1111 | T-P@R0.9: 0.4319 | V-P@R0.9: 0.4345
Epoch 099 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1114 | V-Loss: 0.1109 | T-P@R0.9: 0.4342 | V-P@R0.9: 0.4366
Epoch 100 | Time: 113.6s | LR: 2.00e-04 | T-Loss: 0.1112 | V-Loss: 0.1107 | T-P@R0.9: 0.4333 | V-P@R0.9: 0.4360
