Device: cuda | MLP-BYPASS STUDY | GCN 5Layer
Epoch 0073 | Time: 47.4s | T-Loss: 0.0661 | V-Loss: 0.0622 | T-Prec: 0.8949 | V-Prec: 0.8694 | T-Rec: 0.7829 | V-Rec: 0.7429 | T-P@R0.9: 0.6994 | V-P@R0.9: 0.5682
Epoch 0074 | Time: 45.9s | T-Loss: 0.0633 | V-Loss: 0.0627 | T-Prec: 0.8722 | V-Prec: 0.8494 | T-Rec: 0.7954 | V-Rec: 0.7639 | T-P@R0.9: 0.6844 | V-P@R0.9: 0.5748
Epoch 0075 | Time: 45.9s | T-Loss: 0.0658 | V-Loss: 0.0629 | T-Prec: 0.8756 | V-Prec: 0.8488 | T-Rec: 0.7955 | V-Rec: 0.7636 | T-P@R0.9: 0.6853 | V-P@R0.9: 0.5679
Epoch 0076 | Time: 48.0s | T-Loss: 0.0645 | V-Loss: 0.0630 | T-Prec: 0.8738 | V-Prec: 0.8421 | T-Rec: 0.8111 | V-Rec: 0.7700 | T-P@R0.9: 0.7193 | V-P@R0.9: 0.5757
Epoch 0077 | Time: 47.0s | T-Loss: 0.0649 | V-Loss: 0.0626 | T-Prec: 0.8842 | V-Prec: 0.8561 | T-Rec: 0.7971 | V-Rec: 0.7562 | T-P@R0.9: 0.7213 | V-P@R0.9: 0.5788
Epoch 0078 | Time: 47.2s | T-Loss: 0.0654 | V-Loss: 0.0631 | T-Prec: 0.8797 | V-Prec: 0.8514 | T-Rec: 0.8023 | V-Rec: 0.7612 | T-P@R0.9: 0.7126 | V-P@R0.9: 0.5711
Epoch 0079 | Time: 46.2s | T-Loss: 0.0661 | V-Loss: 0.0626 | T-Prec: 0.8782 | V-Prec: 0.8528 | T-Rec: 0.7985 | V-Rec: 0.7618 | T-P@R0.9: 0.7031 | V-P@R0.9: 0.5746
Epoch 0080 | Time: 48.0s | T-Loss: 0.0630 | V-Loss: 0.0626 | T-Prec: 0.9006 | V-Prec: 0.8762 | T-Rec: 0.7706 | V-Rec: 0.7334 | T-P@R0.9: 0.6971 | V-P@R0.9: 0.5765
Epoch 0081 | Time: 47.1s | T-Loss: 0.0643 | V-Loss: 0.0621 | T-Prec: 0.8739 | V-Prec: 0.8492 | T-Rec: 0.8035 | V-Rec: 0.7673 | T-P@R0.9: 0.7025 | V-P@R0.9: 0.5811
Epoch 0082 | Time: 46.8s | T-Loss: 0.0667 | V-Loss: 0.0621 | T-Prec: 0.8919 | V-Prec: 0.8618 | T-Rec: 0.7990 | V-Rec: 0.7531 | T-P@R0.9: 0.7361 | V-P@R0.9: 0.5808
