Timestamp, GPU_ID, Temp, Power, Usage, Mem_Used
2026/03/19 05:26:03.552, 1, 40, 31.82, 0, 2
2026/03/19 05:26:15.661, 0, 44, 26.44, 0, 2
2026/03/19 05:26:15.667, 1, 40, 32.65, 0, 2
2026/03/19 05:26:33.605, 0, 44, 26.16, 0, 2
2026/03/19 05:26:33.611, 1, 40, 33.53, 0, 2
2026/03/19 05:26:45.722, 0, 44, 26.43, 0, 2
2026/03/19 05:26:45.727, 1, 40, 32.54, 0, 2
2026/03/19 05:27:03.666, 0, 44, 26.04, 0, 2
2026/03/19 05:27:03.672, 1, 40, 32.58, 0, 2
2026/03/19 05:27:15.782, 0, 44, 26.17, 0, 2
2026/03/19 05:27:15.788, 1, 40, 32.73, 0, 2
2026/03/19 05:27:33.726, 0, 44, 25.96, 0, 2
2026/03/19 05:27:33.732, 1, 40, 32.73, 0, 2
2026/03/19 05:27:45.841, 0, 44, 26.36, 0, 2
2026/03/19 05:27:45.847, 1, 40, 32.45, 0, 2
2026/03/19 05:28:03.787, 0, 44, 26.29, 0, 2
2026/03/19 05:28:03.793, 1, 40, 33.59, 0, 2
2026/03/19 05:28:15.902, 0, 44, 26.39, 0, 2
2026/03/19 05:28:15.908, 1, 40, 32.53, 0, 2
2026/03/19 05:28:33.847, 0, 44, 26.32, 0, 2
2026/03/19 05:28:33.853, 1, 40, 33.31, 0, 2
2026/03/19 05:28:45.963, 0, 44, 26.75, 0, 2
2026/03/19 05:28:45.970, 1, 40, 33.59, 0, 2
2026/03/19 05:29:03.909, 0, 44, 26.17, 0, 2
2026/03/19 05:29:03.915, 1, 40, 32.81, 0, 2
2026/03/19 05:29:16.024, 0, 44, 26.09, 0, 2
2026/03/19 05:29:16.030, 1, 40, 32.79, 0, 2
2026/03/19 05:29:33.968, 0, 44, 26.18, 0, 2
2026/03/19 05:29:33.974, 1, 40, 32.93, 0, 2
2026/03/19 05:29:46.084, 0, 44, 26.41, 0, 2
2026/03/19 05:29:46.090, 1, 40, 33.73, 0, 2
2026/03/19 05:30:04.028, 0, 44, 26.14, 0, 2
2026/03/19 05:30:04.035, 1, 40, 32.98, 0, 2
2026/03/19 05:30:16.145, 0, 44, 26.09, 0, 2
2026/03/19 05:30:16.152, 1, 40, 33.04, 0, 2
2026/03/19 05:30:34.089, 0, 44, 26.34, 0, 2
2026/03/19 05:30:34.096, 1, 40, 32.19, 0, 2
2026/03/19 05:30:46.206, 0, 44, 26.14, 0, 2
2026/03/19 05:30:46.213, 1, 40, 33.86, 0, 2
2026/03/19 05:31:04.150, 0, 44, 26.42, 0, 2
2026/03/19 05:31:04.156, 1, 40, 32.89, 0, 2
2026/03/19 05:31:16.268, 0, 44, 26.31, 0, 2
2026/03/19 05:31:16.275, 1, 40, 33.28, 0, 2
2026/03/19 05:31:34.211, 0, 44, 26.57, 0, 2
2026/03/19 05:31:34.217, 1, 40, 32.82, 0, 2
2026/03/19 05:31:46.329, 0, 44, 26.18, 0, 2
2026/03/19 05:31:46.335, 1, 40, 33.38, 0, 2
2026/03/19 05:32:04.273, 0, 44, 26.47, 0, 2
2026/03/19 05:32:04.279, 1, 40, 33.22, 0, 2
2026/03/19 05:32:16.388, 0, 44, 26.33, 0, 2
2026/03/19 05:32:16.395, 1, 40, 33.26, 0, 2
2026/03/19 05:32:34.332, 0, 44, 26.29, 0, 2
2026/03/19 05:32:34.339, 1, 40, 33.33, 0, 2
2026/03/19 05:32:46.449, 0, 44, 26.18, 0, 2
2026/03/19 05:32:46.456, 1, 40, 33.24, 0, 2
2026/03/19 05:33:04.393, 0, 44, 26.29, 0, 2
2026/03/19 05:33:04.399, 1, 40, 32.61, 0, 2
2026/03/19 05:33:16.511, 0, 44, 26.06, 0, 2
2026/03/19 05:33:16.518, 1, 40, 33.07, 0, 2
2026/03/19 05:33:34.454, 0, 44, 26.26, 0, 2
2026/03/19 05:33:34.461, 1, 40, 33.70, 0, 2
2026/03/19 05:33:46.573, 0, 44, 26.32, 0, 2
2026/03/19 05:33:46.580, 1, 40, 33.06, 0, 2
2026/03/19 05:34:04.516, 0, 44, 26.17, 0, 2
2026/03/19 05:34:04.523, 1, 40, 33.61, 0, 2
2026/03/19 05:34:16.634, 0, 44, 26.28, 0, 2
2026/03/19 05:34:16.641, 1, 40, 33.36, 0, 2
2026/03/19 05:34:34.576, 0, 44, 26.77, 0, 2
2026/03/19 05:34:34.583, 1, 40, 33.81, 0, 2
2026/03/19 05:34:46.697, 0, 44, 26.34, 0, 2
2026/03/19 05:34:46.704, 1, 40, 33.43, 0, 2
2026/03/19 05:35:04.640, 0, 44, 26.48, 0, 2
2026/03/19 05:35:04.647, 1, 40, 33.26, 0, 2
2026/03/19 05:35:16.759, 0, 44, 26.39, 0, 2
2026/03/19 05:35:16.766, 1, 40, 33.46, 0, 2
2026/03/19 05:35:34.701, 0, 44, 26.33, 0, 2
2026/03/19 05:35:34.708, 1, 40, 33.45, 0, 2
2026/03/19 05:35:46.821, 0, 44, 26.62, 0, 2
2026/03/19 05:35:46.828, 1, 40, 34.25, 0, 2
2026/03/19 05:36:04.762, 0, 44, 26.38, 0, 2
2026/03/19 05:36:04.770, 1, 40, 32.63, 0, 2
2026/03/19 05:36:16.883, 0, 44, 26.42, 0, 2
2026/03/19 05:36:16.890, 1, 40, 32.38, 0, 2
2026/03/19 05:36:34.826, 0, 44, 26.35, 0, 2
2026/03/19 05:36:34.834, 1, 40, 33.84, 0, 2
2026/03/19 05:36:46.945, 0, 44, 26.03, 0, 2
2026/03/19 05:36:46.953, 1, 40, 33.32, 0, 2
2026/03/19 05:37:04.890, 0, 44, 26.14, 0, 2
2026/03/19 05:37:04.897, 1, 40, 32.42, 0, 2
2026/03/19 05:37:17.008, 0, 44, 26.45, 0, 2
2026/03/19 05:37:17.015, 1, 40, 32.31, 0, 2
2026/03/19 05:37:34.953, 0, 44, 26.27, 0, 2
2026/03/19 05:37:34.960, 1, 40, 32.02, 0, 2
2026/03/19 05:37:47.069, 0, 44, 26.47, 0, 2
2026/03/19 05:37:47.077, 1, 40, 31.96, 0, 2
2026/03/19 05:38:05.016, 0, 44, 26.32, 0, 2
2026/03/19 05:38:05.023, 1, 40, 32.31, 0, 2
2026/03/19 05:38:17.131, 0, 44, 26.35, 0, 2
2026/03/19 05:38:17.139, 1, 40, 33.14, 0, 2
2026/03/19 05:38:35.078, 0, 44, 26.40, 0, 2
2026/03/19 05:38:35.086, 1, 40, 32.37, 0, 2
2026/03/19 05:38:47.194, 0, 44, 26.44, 0, 2
2026/03/19 05:38:47.201, 1, 40, 32.99, 0, 2
2026/03/19 05:39:05.141, 0, 44, 26.04, 0, 2
2026/03/19 05:39:05.149, 1, 40, 33.44, 0, 2
2026/03/19 05:39:17.257, 0, 44, 26.47, 0, 2
2026/03/19 05:39:17.265, 1, 40, 32.84, 0, 2
2026/03/19 05:39:35.204, 0, 44, 26.28, 0, 2
2026/03/19 05:39:35.212, 1, 40, 33.40, 0, 2
2026/03/19 05:39:47.319, 0, 44, 26.07, 0, 2
2026/03/19 05:39:47.328, 1, 40, 32.80, 0, 2
2026/03/19 05:40:05.268, 0, 44, 26.12, 0, 2
2026/03/19 05:40:05.276, 1, 40, 33.69, 0, 2
2026/03/19 05:40:17.382, 0, 44, 26.23, 0, 2
2026/03/19 05:40:17.388, 1, 40, 32.98, 0, 2
2026/03/19 05:40:35.331, 0, 44, 26.62, 0, 2
2026/03/19 05:40:35.336, 1, 40, 34.21, 0, 2
2026/03/19 05:40:47.444, 0, 44, 26.06, 0, 2
2026/03/19 05:40:47.450, 1, 40, 33.50, 0, 2
2026/03/19 05:41:05.392, 0, 44, 26.24, 0, 2
2026/03/19 05:41:05.397, 1, 40, 33.09, 0, 2
2026/03/19 05:41:17.505, 0, 44, 26.06, 0, 2
2026/03/19 05:41:17.511, 1, 40, 32.69, 0, 2
2026/03/19 05:41:35.453, 0, 44, 25.93, 0, 2
2026/03/19 05:41:35.458, 1, 40, 33.56, 0, 2
2026/03/19 05:41:47.565, 0, 44, 26.11, 0, 2
2026/03/19 05:41:47.570, 1, 40, 33.52, 0, 2
2026/03/19 05:42:05.513, 0, 44, 26.16, 0, 2
2026/03/19 05:42:05.518, 1, 40, 33.27, 0, 2
2026/03/19 05:42:17.623, 0, 44, 26.37, 0, 2
2026/03/19 05:42:17.629, 1, 40, 33.47, 0, 2
2026/03/19 05:42:35.575, 0, 44, 26.20, 0, 2
2026/03/19 05:42:35.580, 1, 40, 32.32, 0, 2
2026/03/19 05:42:47.682, 0, 44, 26.28, 0, 2
2026/03/19 05:42:47.688, 1, 40, 32.49, 0, 2
2026/03/19 05:43:05.636, 0, 44, 26.31, 0, 2
2026/03/19 05:43:05.642, 1, 40, 33.21, 0, 2
2026/03/19 05:43:17.742, 0, 44, 26.22, 0, 2
2026/03/19 05:43:17.748, 1, 40, 33.35, 0, 2
