nohup: ignoring input
Device: cuda | Experiment: Deep & Wide LONG | Events: 300000
Epoch 214 | T-Loss: 0.1176 | V-Loss: 0.1180 | V-P@R0.9: 0.3826
Epoch 215 | T-Loss: 0.1176 | V-Loss: 0.1180 | V-P@R0.9: 0.3844
Epoch 216 | T-Loss: 0.1176 | V-Loss: 0.1181 | V-P@R0.9: 0.3834
Epoch 217 | T-Loss: 0.1177 | V-Loss: 0.1181 | V-P@R0.9: 0.3823
Epoch 218 | T-Loss: 0.1172 | V-Loss: 0.1177 | V-P@R0.9: 0.3849
Epoch 219 | T-Loss: 0.1177 | V-Loss: 0.1181 | V-P@R0.9: 0.3825
Epoch 220 | T-Loss: 0.1175 | V-Loss: 0.1179 | V-P@R0.9: 0.3831
Epoch 221 | T-Loss: 0.1175 | V-Loss: 0.1180 | V-P@R0.9: 0.3851
Epoch 222 | T-Loss: 0.1172 | V-Loss: 0.1176 | V-P@R0.9: 0.3842
Epoch 223 | T-Loss: 0.1176 | V-Loss: 0.1182 | V-P@R0.9: 0.3819
Epoch 224 | T-Loss: 0.1176 | V-Loss: 0.1181 | V-P@R0.9: 0.3823
Epoch 225 | T-Loss: 0.1175 | V-Loss: 0.1180 | V-P@R0.9: 0.3839
Epoch 226 | T-Loss: 0.1178 | V-Loss: 0.1182 | V-P@R0.9: 0.3843
Epoch 227 | T-Loss: 0.1171 | V-Loss: 0.1177 | V-P@R0.9: 0.3840
Epoch 228 | T-Loss: 0.1171 | V-Loss: 0.1176 | V-P@R0.9: 0.3843
Epoch 229 | T-Loss: 0.1172 | V-Loss: 0.1177 | V-P@R0.9: 0.3852
Epoch 230 | T-Loss: 0.1173 | V-Loss: 0.1178 | V-P@R0.9: 0.3844
Epoch 231 | T-Loss: 0.1174 | V-Loss: 0.1179 | V-P@R0.9: 0.3816
Epoch 232 | T-Loss: 0.1173 | V-Loss: 0.1178 | V-P@R0.9: 0.3836
Epoch 233 | T-Loss: 0.1173 | V-Loss: 0.1179 | V-P@R0.9: 0.3831
Epoch 234 | T-Loss: 0.1170 | V-Loss: 0.1175 | V-P@R0.9: 0.3859
Epoch 235 | T-Loss: 0.1173 | V-Loss: 0.1178 | V-P@R0.9: 0.3840
Epoch 236 | T-Loss: 0.1173 | V-Loss: 0.1178 | V-P@R0.9: 0.3830
Epoch 237 | T-Loss: 0.1173 | V-Loss: 0.1179 | V-P@R0.9: 0.3839
Epoch 238 | T-Loss: 0.1170 | V-Loss: 0.1176 | V-P@R0.9: 0.3858
Epoch 239 | T-Loss: 0.1171 | V-Loss: 0.1177 | V-P@R0.9: 0.3828
Epoch 240 | T-Loss: 0.1172 | V-Loss: 0.1178 | V-P@R0.9: 0.3813
Epoch 241 | T-Loss: 0.1169 | V-Loss: 0.1174 | V-P@R0.9: 0.3856
Epoch 242 | T-Loss: 0.1171 | V-Loss: 0.1176 | V-P@R0.9: 0.3843
Epoch 243 | T-Loss: 0.1169 | V-Loss: 0.1174 | V-P@R0.9: 0.3848
Epoch 244 | T-Loss: 0.1172 | V-Loss: 0.1178 | V-P@R0.9: 0.3838
Epoch 245 | T-Loss: 0.1173 | V-Loss: 0.1179 | V-P@R0.9: 0.3824
Epoch 246 | T-Loss: 0.1170 | V-Loss: 0.1175 | V-P@R0.9: 0.3836
Epoch 247 | T-Loss: 0.1167 | V-Loss: 0.1174 | V-P@R0.9: 0.3856
Epoch 248 | T-Loss: 0.1173 | V-Loss: 0.1180 | V-P@R0.9: 0.3833
Epoch 249 | T-Loss: 0.1166 | V-Loss: 0.1172 | V-P@R0.9: 0.3853
Epoch 250 | T-Loss: 0.1169 | V-Loss: 0.1174 | V-P@R0.9: 0.3846
Epoch 251 | T-Loss: 0.1173 | V-Loss: 0.1179 | V-P@R0.9: 0.3854
